DateTime,Entries,UniqueIPs
1608580923,2506,2540
1608582124,2501,2535
1608583323,2499,2534
1608583923,2483,2518
1608585123,2483,2518
1608586324,2478,2513
1608586923,2482,2517
1608587524,2476,2510
1608588723,2478,2512
1608589323,2479,2513
1608590523,2487,2521
1608591723,2486,2520
1608592923,2481,2515
1608594124,2482,2516
1608595323,2487,2521
1608596523,2487,2521
1608597723,2486,2520
1608598924,2487,2521
1608599523,2485,2519
1608600123,2481,2515
1608600724,2483,2517
1608601324,2480,2514
1608602523,2481,2516
1608603723,2476,2510
1608606124,2478,2512
1608607324,2477,2511
1608607924,2478,2512
1608608524,2475,2509
1608609723,2478,2512
1608610923,2478,2511
1608612124,2476,2509
1608613323,2474,2507
1608614523,2451,2483
1608615723,2452,2484
1608616324,2438,2470
1608617524,2439,2471
1608618123,2441,2473
1608619323,2442,2475
1608620524,2441,2474
1608621123,2439,2471
1608622924,2440,2472
1608624723,2440,2472
1608625323,2439,2470
1608628323,2437,2468
1608628924,2439,2471
1608630123,2438,2470
1608630724,2435,2467
1608631324,2436,2468
1608631924,2430,2462
1608633123,2429,2461
1608634323,2432,2464
1608636123,2432,2463
1608637323,2433,2464
1608637923,2432,2463
1608638524,2433,2464
1608639123,2432,2463
1608639723,2433,2464
1608640324,2434,2465
1608642723,2432,2463
1608644524,2430,2461
1608646923,2428,2459
1608649923,2423,2454
1608650524,2421,2452
1608651123,2420,2451
1608654725,2417,2448
1608655924,2416,2447
1608657123,2413,2444
1608658324,2415,2446
1608658924,2416,2447
1608660124,2416,2447
1608661323,2417,2448
1608662524,2418,2449
1608663723,2417,2448
1608664924,2416,2447
1608666123,2416,2447
1608667324,2416,2447
1608667924,2412,2443
1608669124,2414,2445
1608670323,2417,2448
1608670923,2419,2450
1608671523,2420,2451
1608672724,2413,2444
1608674524,2414,2445
1608675123,2414,2445
1608675723,2415,2446
1608676325,2417,2448
1608677523,2413,2444
1608678723,2413,2444
1608679324,2414,2445
1608679925,2413,2444
1608681124,2411,2442
1608682323,2408,2439
1608682924,2408,2439
1608684124,2412,2443
1608684724,2408,2439
1608685324,2397,2428
1608686524,2398,2429
1608687724,2391,2422
1608688323,2390,2421
1608688924,2384,2415
1608690124,2424,2455
1608690724,2421,2452
1608691324,2418,2449
1608692524,2422,2453
1608693724,2413,2444
1608695523,2409,2440
1608697324,2396,2427
1608697925,2392,2423
1608699124,2387,2418
1608699723,2388,2419
1608700924,2384,2415
1608702123,2382,2413
1608703324,2377,2408
1608705124,2386,2417
1608705724,2384,2415
1608706924,2383,2414
1608707524,2384,2415
1608708724,2386,2417
1608709925,2387,2418
1608711124,2388,2419
1608712324,2387,2418
1608713524,2388,2419
1608714123,2389,2420
1608715324,2388,2419
1608715924,2375,2406
1608717723,2383,2414
1608718324,2382,2413
1608719525,2407,2438
1608720124,2406,2437
1608721324,2406,2437
1608722524,2413,2444
1608723124,2416,2447
1608724323,2420,2451
1608724924,2423,2454
1608725523,2419,2450
1608726123,2417,2448
1608726724,2419,2450
1608727323,2418,2449
1608727924,2419,2450
1608728523,2420,2451
1608729123,2419,2450
1608729723,2416,2447
1608730924,2415,2446
1608732124,2416,2447
1608732723,2417,2448
1608733925,2418,2449
1608734523,2418,2449
1608735724,2420,2451
1608736924,2418,2449
1608738123,2473,2505
1608739323,2474,2506
1608739923,2473,2505
1608740523,2478,2510
1608741123,2461,2493
1608742324,2460,2492
1608742923,2463,2495
1608743524,2460,2491
1608744724,2462,2493
1608745323,2470,2501
1608745923,2469,2500
1608747123,2473,2504
1608748324,2473,2504
1608749524,2477,2508
1608750724,2477,2508
1608751323,2475,2506
1608752524,2477,2508
1608754323,2471,2502
1608755524,2462,2493
1608756123,2464,2495
1608756723,2451,2482
1608758524,2456,2487
1608759723,2458,2489
1608760923,2457,2488
1608763324,2457,2488
1608763923,2452,2483
1608764523,2451,2482
1608765723,2450,2481
1608766324,2457,2488
1608767523,2445,2476
1608768124,2447,2478
1608768724,2444,2475
1608769924,2442,2473
1608770524,2439,2470
1608771724,2434,2465
1608772323,2434,2465
1608773524,2427,2458
1608774124,2425,2457
1608775323,2424,2455
1608777724,2423,2454
1608778324,2421,2452
1608779523,2423,2454
1608780724,2416,2447
1608781323,2417,2448
1608782524,2413,2444
1608783723,2412,2442
1608784923,2410,2440
1608785523,2407,2437
1608787323,2417,2447
1608789723,2433,2463
1608790924,2433,2463
1608792723,2438,2468
1608793323,2437,2467
1608794523,2439,2469
1608795724,2439,2469
1608796924,2441,2471
1608798724,2440,2470
1608799323,2429,2459
1608800524,2424,2454
1608802324,2425,2455
1608802923,2425,2457
1608804124,2470,2502
1608804723,2470,2502
1608805324,2469,2501
1608805924,2470,2502
1608806523,2469,2501
1608807724,2467,2499
1608810124,2467,2499
1608810723,2468,2500
1608812523,2470,2502
1608814923,2470,2502
1608816724,2472,2504
1608819723,2462,2494
1608820924,2455,2487
1608822124,2452,2484
1608822723,2453,2485
1608823324,2452,2484
1608823924,2453,2485
1608825123,2449,2481
1608826324,2448,2480
1608826923,2449,2481
1608828124,2450,2482
1608828723,2447,2479
1608829323,2448,2480
1608830523,2448,2481
1608831724,2452,2485
1608832323,2452,2484
1608832923,2450,2482
1608834724,2448,2480
1608835924,2448,2480
1608837724,2448,2480
1608838924,2447,2479
1608840123,2452,2485
1608841324,2450,2483
1608841924,2427,2460
1608843724,2430,2463
1608844323,2424,2457
1608844923,2422,2455
1608846124,2423,2456
1608847323,2416,2449
1608848523,2419,2452
1608849723,2407,2440
1608850323,2398,2431
1608851523,2381,2414
1608852724,2385,2418
1608854524,2384,2417
1608855724,2388,2421
1608856324,2389,2422
1608857524,2392,2425
1608858123,2393,2426
1608859324,2384,2417
1608860524,2387,2420
1608861723,2387,2420
1608862924,2390,2423
1608864124,2385,2418
1608864723,2384,2417
1608866524,2386,2419
1608868324,2384,2417
1608869523,2386,2419
1608870123,2386,2419
1608872523,2382,2415
1608873724,2381,2414
1608874324,2382,2415
1608876124,2383,2416
1608877324,2360,2393
1608878524,2361,2394
1608879123,2362,2395
1608879726,2360,2393
1608880324,2356,2389
1608882123,2358,2391
1608883925,2356,2389
1608884523,2357,2390
1608885724,2356,2389
1608886324,2355,2388
1608887524,2360,2393
1608888124,2358,2391
1608888725,2348,2380
1608889324,2348,2380
1608891124,2342,2374
1608891723,2345,2377
1608892924,2343,2374
1608893524,2325,2355
1608895324,2322,2352
