DateTime,AddedIPs,RemovedIPs
1607352722,5,2
1607356563,2,5
1607362017,21,42
1607364242,191,212
1607364938,1781,1813
1607370758,1,2
1607373087,28,87
1607375041,601,602
1607375762,204,203
1607379602,103,106
1607383443,106,103
1607384152,34,80
1607385841,363,365
1607386142,19,20
1607391122,225,239
1607394963,987,920
1607395078,22,92
1607396641,703,708
1607405830,27,48
1607406482,811,818
1607407441,460,455
1607416789,25,61
1607418013,398,394
1607418241,386,386
1607421842,186,189
1607427642,20,51
1607428804,237,0
1607429041,420,423
1607429522,239,247
1607437202,62,59
1607438639,21,56
1607439841,379,375
1607441043,246,256
1607449673,27,62
1607450641,383,378
1607452802,121,126
1607457867,255,0
1607460482,126,122
1607460613,21,96
1607461441,346,352
1607471682,25,115
1607472013,261,259
1607472241,324,323
1607472722,36,14
1607479682,965,945
1607482812,14,107
1607483041,669,678
1607491202,780,771
1607493831,27,116
1607493841,407,426
1607502722,486,478
1607504783,414,507
1607514242,358,352
1607515577,457,517
1607518082,61,63
1607525763,258,257
1607526452,386,454
1607529613,211,208
1607533281,208,211
1607536805,253,0
1607537043,1,1
1607537521,374,359
1607540883,112,123
1607547841,365,353
1607548562,147,258
1607554843,253,0
1607558641,333,219
1607558887,33,30
1607559606,18,124
1607564162,206,206
1607568004,956,914
1607569441,549,765
1607570567,20,113
1607579522,762,769
1607580241,386,359
1607581561,15,99
1607591042,249,254
1607591207,398,328
1607592461,20,88
1607594883,254,247
1607598722,247,254
1607601841,365,370
1607602571,428,419
1607603536,20,102
1607606402,419,428
1607608803,251,0
1607610243,430,424
1607611209,4,5
1607612641,382,309
1607614082,214,229
1607614552,8,37
1607617923,229,212
1607621762,212,229
1607623589,358,274
1607625604,27,41
1607633282,156,158
1607634241,338,338
1607636646,30,58
1607637122,141,149
1607640962,149,141
1607644813,141,149
1607645041,375,380
1607645368,35,20
1607647682,28,53
1607652483,974,921
1607655841,669,696
1607658635,20,32
1607666641,391,369
1607668082,721,742
1607669645,12,49
1607677441,353,357
1607679603,440,435
1607680497,17,49
1607687282,340,342
1607688241,349,348
1607688384,247,0
1607691122,84,87
1607691594,17,47
1607698823,173,177
1607699041,296,295
1607702514,11,33
1607710322,474,485
1607713435,21,51
1607720641,326,325
1607724473,22,51
1607725684,100,104
1607731895,342,328
1607735622,20,52
1607737203,198,199
1607742241,638,648
1607746357,22,42
1607748722,972,928
1607753041,432,422
1607756402,620,636
1607757314,10,46
1607763841,374,374
1607767922,440,441
1607768373,15,38
1607771762,441,440
1607774641,305,305
1607775602,491,503
1607779432,15,40
1607783283,169,167
1607785441,340,342
1607787122,69,69
1607790486,19,37
1607790962,118,125
1607796241,353,340
1607798643,34,35
1607801540,26,46
1607806322,83,87
1607807041,297,301
1607808650,249,0
1607812424,15,45
1607814002,33,32
1607817842,67,67
1607818278,356,353
1607821682,40,43
1607823144,15,47
1607825522,61,934
1607828641,618,626
1607829363,933,61
1607833202,61,933
1607833896,16,32
1607837043,959,45
1607839441,370,367
1607844982,16,33
1607850241,350,351
1607852403,575,598
1607855953,14,27
1607856243,191,185
1607860082,520,519
1607861041,615,806
1607863922,409,204
1607866803,13,41
1607867762,379,499
1607868090,252,0
1607871602,51,45
1607871841,312,564
1607875442,139,114
1607877742,10,34
1607882641,337,338
1607883122,44,32
1607888798,23,19
1607893441,313,318
1607894642,130,124
1607898482,75,81
1607899850,20,31
1607902322,31,23
1607904241,343,349
1607904955,29,64
1607910003,23,28
1607910949,22,48
1607913842,972,858
1607915041,647,657
1607917682,547,547
1607921781,18,15
1607925841,364,359
1607929213,676,671
1607932730,14,31
1607933042,1,0
1607936882,378,378
1607940722,400,413
1607943800,17,23
1607947441,344,335
1607954872,12,31
1607956323,208,210
1607958253,427,428
1607961136,1,1
1607965818,14,22
1607967842,167,175
1607969041,361,367
1607976773,24,33
1607979363,105,111
1607979841,254,257
1607987734,29,30
1607990641,450,467
1607991354,24,29
1607994723,85,92
1607998562,974,927
1607998938,11,54
1608001441,696,715
1608004810,3,3
1608010079,23,31
1608012241,370,371
1608013922,807,806
1608020738,20,21
1608023041,360,358
1608025442,492,489
1608031651,31,30
1608033122,195,196
1608033841,385,384
1608040812,62,63
1608041941,0,254
1608042634,15,33
1608044641,383,385
1608048528,0,4
1608052322,197,201
1608053635,18,26
1608055441,390,394
1608060003,135,137
1608063842,137,135
1608064575,30,24
1608066321,353,351
1608067683,220,222
1608075849,27,35
1608077187,367,382
1608086883,1016,988
1608087841,658,657
1608097919,19,23
1608098402,783,789
1608098641,365,377
1608108889,12,20
1608109441,356,348
1608109922,435,425
1608114002,425,435
1608119881,20,23
1608120241,369,370
1608121682,434,423
1608125522,389,399
1608129362,399,389
1608130764,30,26
1608131041,386,384
1608133203,480,497
1608141833,9,12
1608141841,375,382
1608148563,133,139
1608152833,369,385
1608156243,109,109
1608163441,381,375
1608163854,72,59
